SMILES,logPapp,priority
C=CCn1c(=O)c2cccnc2n(CC=C)c1=O,1.957607,1
COCC[C@H]1C[C@@H]1c1cncc(OC[C@@H]2CCCN2C)c1.O=C(O)C(F)(F)F,1.958564,1
N#CCc1ccccc1C#Cc1ccc(CCC(=O)O)cc1,1.959041,1
CCC(=O)N[C@H]1CC[C@@H](C(=O)N(C)c2ccc(-c3nc4ccccc4o3)cc2)C1,1.973128,1
c1csc([C@]23CNC[C@H]2C3)c1,1.245513,1
c1cnc2ccc(Cn3nnc4nccnc43)cc2c1,1.607455,1
c1cnc2ccc(Cn3nnc4ncc(-c5cnn([C@@H]6CCNC6)c5)nc43)cc2c1,0.491362,1
c1cnc2ccc(Cn3nnc4ncc(-c5cnn(C6CCNCC6)c5)nc43)cc2c1,0.049218,1
c1ccn2cc(-c3ccc(OCCCN4CCCCC4)cc3)cc2c1,1.149219,1
c1ccn2c(Sc3ncnc4sccc34)nnc2c1,1.69897,1
c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,0.558753,1
c1ccc2c(N3CCNCC3)nc(-c3ccc4[nH]ncc4c3)nc2c1,0.752048,1
c1ccc2c(-c3ccncc3)c[nH]c2c1,1.418301,1
c1ccc([C@H]([C@@H](c2ccccc2)N2CCCC2)N2CCCC2)cc1,1.146128,1
c1ccc([C@@H]([C@H](c2ccccc2)N2CCCCC2)N2CCCCC2)cc1,1.0086,1
c1ccc([C@@H]([C@H](c2ccccc2)N2CCCC2)N2CCCC2)cc1,1.123852,1
COc1cc2c(cc1OC)CN(Cc1ccc(-c3ccccc3)cc1)CC2,1.890421,1
O=C(c1ccc(Oc2ccc(F)cc2)nc1)N1CCCN(C2CCC2)CC1,1.892095,1
c1ccc(Cn2nnnc2C(c2ccc(-n3cncn3)cc2)N2CCCN(C3CCC3)CC2)cc1,2.017033,1
Cl.O=C(c1ccc(CN2CCOCC2)cc1)N1CCN(C2CC2)CC1,2.033424,1
O=C(O)CCc1ccc(C#Cc2cc(Cl)nc(Cl)c2)cc1,2.049218,1
O=C(O)CCCCCCCC(=O)O,2.079181,1
CC=C(C)C(=O)NC(c1ccccc1)C(O)C(=O)OC1CC2(O)C(OC(=O)c3cccc(N=[N+]=[N-])c3)C3C4(OC(C)=O)COC4CC(OC(=O)CNC(=O)OC(C)(C)C)C3(C)C(=O)C(O)C(=C1C)C2(C)C,2.089905,1
C[S@](=O)CCCCN=C=S,2.149219,1
COc1ccc2c(c1)C(=CCCN1CCc3cc(OC)c(OC)cc3C1)CCC2,2.220892,1
C[C@@H](O[C@H]1OCCN(Cc2nc(=O)[nH][nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,2.230449,1
CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,2.342423,1
COc1cccc2c1CCCC2CCCN1CCN(C2CCCCC2)CC1,2.397245,1
C/C=C(\C)C(=O)N[C@@H](c1ccccc1)[C@@H](O)C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3cccc(N=[N+]=[N-])c3)[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](OC(=O)NC)[C@@]3(C)C(=O)[C@H](O)C(=C1C)C2(C)C,2.40654,1
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,2.431364,1
Cc1cccc(C)c1OCC(C)N,2.449941,1
COc1cccc(OC)c1C(=O)/C=C/c1ccco1,1.955688,1
CCCn1c(=O)c2cccnc2n(CCC)c1=O,1.799341,1
CSc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(C)ns2)n1,1.801404,1
Cc1cc(C)nc(N2C[C@H]3CN(C(=O)c4c(F)cccc4-n4nccn4)C[C@H]3C2)n1,1.806858,1
CC(Nc1ccccc1)c1cc(C(=O)O)cn2c(=O)cc(N3CCOCC3)nc12,1.812913,1
